ENDO,MICRO,HAPI,negCTRL,posCTRL,dose_ug,fluorescence
TRUE,FALSE,TRUE,TRUE,FALSE,0,9947
TRUE,FALSE,TRUE,TRUE,FALSE,0,21163
TRUE,FALSE,TRUE,TRUE,FALSE,0,6529
TRUE,FALSE,TRUE,TRUE,FALSE,0,21716
TRUE,FALSE,TRUE,TRUE,FALSE,0,19178
TRUE,FALSE,TRUE,TRUE,FALSE,0,15133
TRUE,FALSE,TRUE,TRUE,FALSE,0,14602
TRUE,FALSE,TRUE,TRUE,FALSE,0,11826
TRUE,FALSE,TRUE,TRUE,FALSE,0,11652
TRUE,FALSE,TRUE,TRUE,FALSE,0,10675
TRUE,FALSE,TRUE,TRUE,FALSE,0,8030
TRUE,FALSE,TRUE,TRUE,FALSE,0,17242
TRUE,FALSE,TRUE,TRUE,FALSE,0,17079
TRUE,FALSE,TRUE,TRUE,FALSE,0,19294
TRUE,FALSE,TRUE,TRUE,FALSE,0,21481
TRUE,FALSE,TRUE,TRUE,FALSE,0,20579
TRUE,FALSE,TRUE,TRUE,FALSE,0,29757
TRUE,FALSE,TRUE,TRUE,FALSE,0,13634
TRUE,FALSE,TRUE,TRUE,FALSE,0,18694
TRUE,FALSE,TRUE,FALSE,TRUE,0,40220
TRUE,FALSE,TRUE,FALSE,TRUE,0,51618
TRUE,FALSE,TRUE,FALSE,TRUE,0,46384
TRUE,FALSE,TRUE,FALSE,TRUE,0,35075
TRUE,FALSE,TRUE,FALSE,TRUE,0,34523
TRUE,FALSE,TRUE,FALSE,TRUE,0,25673
TRUE,FALSE,TRUE,FALSE,TRUE,0,26315
TRUE,FALSE,TRUE,FALSE,TRUE,0,24053
TRUE,FALSE,TRUE,FALSE,TRUE,0,54962
TRUE,FALSE,TRUE,FALSE,TRUE,0,55636
TRUE,FALSE,TRUE,FALSE,TRUE,0,53149
TRUE,FALSE,TRUE,FALSE,TRUE,0,38087
TRUE,FALSE,TRUE,FALSE,TRUE,0,34819
TRUE,FALSE,TRUE,FALSE,TRUE,0,27509
TRUE,FALSE,TRUE,FALSE,TRUE,0,23503
TRUE,FALSE,TRUE,FALSE,TRUE,0,23664
TRUE,FALSE,TRUE,FALSE,TRUE,0,40905
TRUE,FALSE,TRUE,FALSE,TRUE,0,44725
TRUE,FALSE,TRUE,FALSE,TRUE,0,41988
TRUE,FALSE,TRUE,FALSE,TRUE,0,37716
TRUE,FALSE,TRUE,FALSE,TRUE,0,40497
TRUE,FALSE,TRUE,FALSE,TRUE,0,39006
TRUE,FALSE,TRUE,FALSE,TRUE,0,39118
TRUE,FALSE,TRUE,FALSE,TRUE,0,32486
TRUE,FALSE,TRUE,FALSE,TRUE,0,69563
TRUE,FALSE,TRUE,FALSE,TRUE,0,55988
TRUE,FALSE,TRUE,FALSE,TRUE,0,47548
TRUE,FALSE,TRUE,FALSE,TRUE,0,37034
TRUE,FALSE,TRUE,FALSE,TRUE,0,31975
TRUE,FALSE,TRUE,FALSE,TRUE,0,26013
TRUE,FALSE,TRUE,FALSE,TRUE,0,24304
TRUE,FALSE,TRUE,FALSE,TRUE,0,23652
TRUE,FALSE,TRUE,FALSE,TRUE,0,52901
TRUE,FALSE,TRUE,FALSE,TRUE,0,54165
TRUE,FALSE,TRUE,FALSE,TRUE,0,55571
TRUE,FALSE,TRUE,FALSE,TRUE,0,41771
TRUE,FALSE,TRUE,FALSE,TRUE,0,32778
TRUE,FALSE,TRUE,FALSE,TRUE,0,28513
TRUE,FALSE,TRUE,FALSE,TRUE,0,25700
TRUE,FALSE,TRUE,FALSE,TRUE,0,23578
TRUE,FALSE,TRUE,FALSE,TRUE,0,48240
TRUE,FALSE,TRUE,FALSE,TRUE,0,51538
TRUE,FALSE,TRUE,FALSE,TRUE,0,46959
TRUE,FALSE,TRUE,FALSE,TRUE,0,49305
TRUE,FALSE,TRUE,FALSE,TRUE,0,50504
TRUE,FALSE,TRUE,FALSE,TRUE,0,53450
TRUE,FALSE,TRUE,FALSE,TRUE,0,54737
TRUE,FALSE,TRUE,FALSE,TRUE,0,30376
TRUE,FALSE,TRUE,FALSE,FALSE,0,49477
TRUE,FALSE,TRUE,FALSE,FALSE,0,35673
TRUE,FALSE,TRUE,FALSE,FALSE,0,53666
TRUE,FALSE,TRUE,FALSE,FALSE,0,50555
TRUE,FALSE,TRUE,FALSE,FALSE,0,29879
TRUE,FALSE,TRUE,FALSE,FALSE,0,19862
TRUE,FALSE,TRUE,FALSE,FALSE,0,18124
TRUE,FALSE,TRUE,FALSE,FALSE,0,15770
TRUE,FALSE,TRUE,FALSE,FALSE,0,48674
TRUE,FALSE,TRUE,FALSE,FALSE,0,42122
TRUE,FALSE,TRUE,FALSE,FALSE,0,49109
TRUE,FALSE,TRUE,FALSE,FALSE,0,47130
TRUE,FALSE,TRUE,FALSE,FALSE,0,31752
TRUE,FALSE,TRUE,FALSE,FALSE,0,28048
TRUE,FALSE,TRUE,FALSE,FALSE,0,23734
TRUE,FALSE,TRUE,FALSE,FALSE,0,24090
TRUE,FALSE,TRUE,FALSE,FALSE,0,29532
TRUE,FALSE,TRUE,FALSE,FALSE,0,30957
TRUE,FALSE,TRUE,FALSE,FALSE,0,35805
TRUE,FALSE,TRUE,FALSE,FALSE,0,31213
TRUE,FALSE,TRUE,FALSE,FALSE,0,33434
TRUE,FALSE,TRUE,FALSE,FALSE,0,30366
TRUE,FALSE,TRUE,FALSE,FALSE,0,32309
TRUE,FALSE,TRUE,FALSE,FALSE,0,16467
TRUE,FALSE,TRUE,FALSE,FALSE,0,42123
TRUE,FALSE,TRUE,FALSE,FALSE,0,41505
TRUE,FALSE,TRUE,FALSE,FALSE,0,36438
TRUE,FALSE,TRUE,FALSE,FALSE,0,28386
TRUE,FALSE,TRUE,FALSE,FALSE,0,26676
TRUE,FALSE,TRUE,FALSE,FALSE,0,25043
TRUE,FALSE,TRUE,FALSE,FALSE,0,21517
TRUE,FALSE,TRUE,FALSE,FALSE,0,22307
TRUE,FALSE,TRUE,FALSE,FALSE,0,60269
TRUE,FALSE,TRUE,FALSE,FALSE,0,48124
TRUE,FALSE,TRUE,FALSE,FALSE,0,39047
