Group,MTT
MIXED.ENDO-HAPI 0,0.718
MIXED.ENDO-HAPI 0,0.727
MIXED.ENDO-HAPI 0,0.66
MIXED.ENDO-HAPI 0,0.691
MIXED.ENDO-HAPI 0,0.645
MIXED.ENDO-HAPI 0,0.595
MIXED.ENDO-HAPI 0,0.502
MIXED.ENDO-HAPI 0,0.497
MIXED.ENDO-HAPI 0,0.432
MIXED.ENDO-HAPI 0,0.471
MIXED.ENDO-HAPI 0,0.439
MIXED.ENDO-HAPI 0,0.387
MIXED.ENDO-HAPI 0,0.469
MIXED.ENDO-HAPI 0,0.518
MIXED.ENDO-HAPI 0,0.613
MIXED.ENDO-HAPI 0,0.614
MIXED.ENDO-HAPI 0,0.66
MIXED.ENDO-HAPI 0,0.656
MIXED.ENDO-HAPI 0,0.652
MIXED.ENDO-HAPI 0,0.5
MIXED.ENDO-HAPI 0,0.614
MIXED.ENDO-HAPI 0,0.601
MIXED.ENDO-HAPI 0,0.618
MIXED.ENDO-HAPI 0,0.714
MIXED.ENDO-HAPI 0,0.754
MIXED.ENDO-HAPI 0,0.618
MIXED.ENDO-HAPI 0,0.631
MIXED.ENDO-HAPI 0,0.601
MIXED.ENDO-HAPI 0,0.612
MIXED.ENDO-HAPI 0,0.624
MIXED.ENDO-HAPI 0.002,0.513
MIXED.ENDO-HAPI 0.002,0.53
MIXED.ENDO-HAPI 0.002,0.51
MIXED.ENDO-HAPI 0.002,0.533
MIXED.ENDO-HAPI 0.002,0.565
MIXED.ENDO-HAPI 0.002,0.53
MIXED.ENDO-HAPI 0.002,0.545
MIXED.ENDO-HAPI 0.002,0.568
MIXED.ENDO-HAPI 0.002,0.599
MIXED.ENDO-HAPI 0.002,0.634
MIXED.ENDO-HAPI 0.002,0.646
MIXED.ENDO-HAPI 0.002,0.612
MIXED.ENDO-HAPI 0.002,0.661
MIXED.ENDO-HAPI 0.002,0.619
MIXED.ENDO-HAPI 0.002,0.518
MIXED.ENDO-HAPI 0.002,0.602
MIXED.ENDO-HAPI 0.002,0.46
MIXED.ENDO-HAPI 0.002,0.576
MIXED.ENDO-HAPI 0.002,0.561
MIXED.ENDO-HAPI 0.002,0.556
MIXED.ENDO-HAPI 0.002,0.621
MIXED.ENDO-HAPI 0.002,0.522
MIXED.ENDO-HAPI 0.002,0.497
MIXED.ENDO-HAPI 0.002,0.507
MIXED.ENDO-HAPI 0.002,0.485
MIXED.ENDO-HAPI 0.002,0.503
