Group,ROS
MIXED.ENDO-MICRO 20,19881
MIXED.ENDO-MICRO 20,26426
MIXED.ENDO-MICRO 20,27000
MIXED.ENDO-MICRO 20,22806
MIXED.ENDO-MICRO 20,23599
MIXED.ENDO-MICRO 20,22747
MIXED.ENDO-MICRO 20,18477
MICRO 0,1109
MICRO 0,1102
MICRO 0,1041
MICRO 0,1175
MICRO 0,1359
MICRO 0,1410
MICRO 0,1362
MICRO 0,1449
MICRO 0,1267
MICRO 0,1179
MICRO 0,1212
MICRO 0,1315
MICRO 0,1443
MICRO 0,6332
MICRO 0,2133
MICRO 0,2173
MICRO 0,1071
MICRO 0,1001
MICRO 0,955
MICRO 0,875
MICRO 0,1117
MICRO 0,3112
MICRO 0,1062
MICRO 0,1064
MICRO 0,1176
MICRO 0,1040
MICRO 0,931
MICRO 0,1084
MICRO 0,1165
MICRO 0,1195
MICRO 0,1249
MICRO 0,1252
MICRO 0,1215
MICRO 0,1324
MICRO 0,1235
MICRO 0,1427
MICRO 0,1431
MICRO 0,1571
MICRO 0,1284
MICRO 0,1414
MICRO 0,850
MICRO 0,899
MICRO 0,905
MICRO 0,985
MICRO 0,993
MICRO 0,892
MICRO 0,967
MICRO 0,973
MICRO 0.002,1956
MICRO 0.002,1636
MICRO 0.002,1148
MICRO 0.002,1107
MICRO 0.002,887
MICRO 0.002,985
MICRO 0.002,1231
MICRO 0.002,1138
MICRO 0.002,1686
MICRO 0.002,1756
MICRO 0.002,1746
MICRO 0.002,1677
MICRO 0.002,1768
MICRO 0.002,1743
MICRO 0.002,1652
MICRO 0.002,1670
MICRO 0.002,1036
MICRO 0.002,881
MICRO 0.002,986
MICRO 0.002,932
MICRO 0.002,1100
MICRO 0.002,1119
MICRO 0.002,1238
MICRO 0.002,1230
MICRO 0.002,1116
MICRO 0.002,1073
MICRO 0.002,1356
MICRO 0.002,1526
MICRO 0.002,1369
MICRO 0.002,1662
MICRO 0.002,1556
MICRO 0.002,1790
MICRO 0.002,1180
MICRO 0.002,1329
MICRO 0.002,1498
MICRO 0.002,1680
MICRO 0.002,1814
MICRO 0.002,1876
MICRO 0.002,1834
MICRO 0.002,1634
MICRO 0.002,1243
MICRO 0.002,1130
MICRO 0.002,1319
MICRO 0.002,1269
MICRO 0.002,1283
MICRO 0.002,1375
MICRO 0.002,1005
MICRO 0.002,987
MICRO 1,1505
MICRO 1,1526
MICRO 1,1521
MICRO 1,1485
MICRO 1,1438
MICRO 1,1501
MICRO 1,1712
MICRO 1,1654
MICRO 1,1303
MICRO 1,1188
MICRO 1,1163
MICRO 1,1541
MICRO 1,1900
MICRO 1,1813
MICRO 1,2042
MICRO 1,1508
MICRO 1,1119
MICRO 1,1072
MICRO 1,1111
MICRO 1,1194
MICRO 1,1337
MICRO 1,1483
MICRO 1,1256
MICRO 1,1581
MICRO 1,1272
MICRO 1,1230
MICRO 1,1677
MICRO 1,1611
MICRO 1,1237
MICRO 1,2084
MICRO 1,1662
MICRO 1,1662
MICRO 1,1706
MICRO 1,1742
MICRO 1,1627
MICRO 1,1068
MICRO 1,1586
MICRO 1,1786
MICRO 1,2585
MICRO 1,2862
MICRO 1,1693
MICRO 1,1552
MICRO 1,1375
MICRO 1,1232
MICRO 1,1444
MICRO 1,1385
MICRO 1,1215
MICRO 1,1144
MICRO 20,1415
MICRO 20,1912
MICRO 20,1848
MICRO 20,1917
MICRO 20,1937
MICRO 20,1838
MICRO 20,1763
MICRO 20,1613
MICRO 20,2064
MICRO 20,2046
MICRO 20,2058
MICRO 20,1775
MICRO 20,1762
MICRO 20,2019
MICRO 20,1856
MICRO 20,2057
MICRO 20,1683
MICRO 20,1585
MICRO 20,1768
MICRO 20,1801
MICRO 20,1792
MICRO 20,1661
MICRO 20,1970
MICRO 20,1697
MICRO 20,1644
MICRO 20,1735
MICRO 20,1645
MICRO 20,1724
MICRO 20,1679
MICRO 20,1709
MICRO 20,1612
MICRO 20,1808
MICRO 20,2180
MICRO 20,2078
MICRO 20,1558
MICRO 20,1843
MICRO 20,1872
MICRO 20,6188
MICRO 20,1828
MICRO 20,1343
MICRO 20,1808
MICRO 20,1855
MICRO 20,1864
MICRO 20,1617
MICRO 20,1776
MICRO 20,1744
MICRO 20,1712
MICRO 20,1726
