Group,G-CSF,Eotaxin,GM-CSF,IL-1a,Leptin,MIP-1a,lL-4,IL-1b,IL-2,IL-6,EGF,IL-13,IL-10,IL-12p70,IFN-y,IL-5,IL-17A,IL-18,MCP-1,IP-10,GRO/KC/CINC-1,VEGF,Fractalkine,LIX,MIP-2,TNF-a,RANTES
Endothelial 0,8.151664618528573,18.62464134949013,0.0,0.0,0.0,0.0,0.0,3.7810030629711586,0.0,444.41189656254136,0.0,13.066389375023041,22.12811084543271,0.0,0.0,0.0,0.0,0.0,0.0,68.73267377659927,0.0,370.0648718600001,0.0,25.676817605586116,0.0,0.8310493561558194,4.027925603647955
Endothelial 0,1.7963230154815604,20.64270638999568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.46878308579808,0.0,13.368378153607814,0.0,153.65359098326994,484.38503037263814,337.53753130921604,12.252506862921,49.44828633557836,0.0,0.0,0.736583231191835
Endothelial 0,2.647545996819848,22.54809557569081,0.0,0.0,0.0,4.9103952180161174,0.0,7.922423283324375,10.47016634866841,0.0,0.0,31.89216870175319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.28093977604553,141.65159016356552,190.94711190229094,0.0,75.67776551422757,0.0,0.0,0.0
Endothelial 0,0.0,15.318446982418033,0.0,0.0,45.06196621407607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.72154379359327,0.0,312.94724527139795,0.7049303904479471,41.8721665431265,0.0,0.0,0.0
Endothelial 0,0.0,11.50562411473506,0.0,0.0,0.0,5.565055892663311,0.0,0.0,0.0,0.0,0.0,31.89216870175319,0.0,0.0,44.337351639205934,0.0,0.0,0.0,0.0,44.628605013875315,0.0,286.97318514309086,0.0,39.49698665176579,0.0,0.0,0.736583231191835
Endothelial 0,0.9035754065700855,14.117775698683252,30.74931987975185,0.0,0.0,2.3108903250541113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.756821548553376,0.0,41.107762682281376,0.0,0.0,0.0,138.19792148485382,305.4372156885645,195.175162083869,0.0,16.482356175269352,0.0,0.0,0.0
Endothelial 0,0.0,16.464752915628065,0.0,0.0,0.0,0.5887595110561655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.255666537533386,0.0,0.0,0.0,148.15893371530538,180.4643267286841,210.8595196822731,2.0205102925963927,27.54118646773855,0.0,2.6775980160166313,0.0
Endothelial 0,0.0,10.056323351799188,0.0,0.0,0.0,7.758361296253739,44.99070380391955,0.0,0.0,0.0,0.14271709882469497,0.0,0.0,0.0,206.6989268154836,0.0,0.0,0.0,0.0,271.63073426670866,90.8363256824895,237.47309982807394,0.0,44.196677140552644,0.0,0.0,0.0
Endothelial 0,0.42651269330193475,10.056323351799188,0.0,0.0,86.57936573444788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.2420575801349,167.53519402478298,328.77230688805884,279.1828397849972,2.0205102925963927,30.25047288406645,0.0,0.0,0.28678565109573406
Endothelial 0,1.3569589615223472,10.056323351799188,0.0,0.0,0.0,0.0,24.826474067091894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.6219065258077,0.0,551.6485440645113,0.0,25.676817605586116,0.0,0.0,0.0
